Timestamp,Voltage (V),Current (A),Frequency (Hz),Phase (deg),Active Power (W),Reactive Power (VAR),Apparent Power (VA),Power Factor (PF),Total Energy (kWh),Resettable Energy (kWh)
22-01-2025 13:48:46,234.77,0.0,50.0,69.6,0.0,0.0,0.0,1.0,32.597,14.085
22-01-2025 13:48:47,234.77,0.0,50.0,69.6,0.0,0.0,0.0,1.0,32.597,14.085
22-01-2025 13:48:48,234.71,0.0,50.0,99.3,0.0,0.0,0.0,1.0,32.597,14.085
22-01-2025 13:48:49,234.75,0.0,50.0,-14.7,0.0,0.0,0.0,1.0,32.597,14.085
22-01-2025 13:48:49,234.8,0.0,50.0,-59.5,0.0,0.0,0.0,1.0,32.597,14.085
22-01-2025 13:48:50,234.8,0.0,50.0,-59.5,0.0,0.0,0.0,1.0,32.597,14.085
22-01-2025 13:48:51,234.82,0.151,50.0,0.0,2.0,0.0,35.0,0.056,32.597,14.085
22-01-2025 13:48:51,234.88,0.018,50.0,56.7,2.0,0.0,4.0,0.551,32.597,14.085
22-01-2025 13:48:52,234.82,0.022,50.0,-6.5,2.0,0.0,5.0,0.519,32.597,14.085
22-01-2025 13:48:53,234.82,0.022,50.0,-6.5,2.0,0.0,5.0,0.519,32.597,14.085
22-01-2025 13:48:54,234.9,0.019,50.0,-2.2,2.0,0.0,4.0,0.541,32.597,14.085
22-01-2025 13:48:54,234.86,0.026,50.0,-3.8,3.0,0.0,6.0,0.504,32.597,14.085
22-01-2025 13:48:55,234.86,0.026,50.0,-3.8,3.0,0.0,6.0,0.504,32.597,14.085
22-01-2025 13:48:56,234.9,0.033,50.0,1.2,3.0,0.0,7.0,0.478,32.597,14.085
22-01-2025 13:48:57,234.89,0.035,50.0,3.6,3.0,0.0,8.0,0.476,32.597,14.085
22-01-2025 13:48:57,234.95,0.033,50.0,9.6,3.0,0.0,7.0,0.479,32.597,14.085
22-01-2025 13:48:58,234.95,0.033,50.0,9.6,3.0,0.0,7.0,0.479,32.597,14.085
22-01-2025 13:48:59,234.96,0.032,50.0,6.1,3.0,0.0,7.0,0.488,32.597,14.085
22-01-2025 13:48:59,235.05,0.036,50.0,4.5,4.0,0.0,8.0,0.469,32.597,14.085
22-01-2025 13:49:00,235.07,0.043,50.01,8.4,4.0,0.0,10.0,0.463,32.597,14.085
22-01-2025 13:49:01,235.07,0.043,50.01,8.4,4.0,0.0,10.0,0.463,32.597,14.085
22-01-2025 13:49:02,235.06,0.041,50.01,11.7,4.0,0.0,9.0,0.47,32.597,14.085
22-01-2025 13:49:02,235.07,0.042,50.01,9.3,4.0,0.0,9.0,0.469,32.597,14.085
22-01-2025 13:49:03,235.07,0.042,50.01,9.3,4.0,0.0,9.0,0.469,32.597,14.085
22-01-2025 13:49:04,235.14,0.046,50.01,13.5,5.0,0.0,10.0,0.467,32.597,14.085
22-01-2025 13:49:05,234.97,0.04,50.01,11.6,4.0,0.0,9.0,0.48,32.597,14.085
22-01-2025 13:49:05,234.96,0.04,50.01,10.8,4.0,0.0,9.0,0.479,32.597,14.085
22-01-2025 13:49:06,234.96,0.04,50.01,10.8,4.0,0.0,9.0,0.479,32.597,14.085
22-01-2025 13:49:07,235.01,0.04,50.01,10.7,4.0,0.0,9.0,0.481,32.597,14.085
22-01-2025 13:49:07,234.93,0.064,50.01,14.7,7.0,-1.0,15.0,0.478,32.597,14.085
22-01-2025 13:49:08,235.0,0.045,50.01,9.3,5.0,0.0,10.0,0.475,32.597,14.085
22-01-2025 13:49:09,235.0,0.045,50.01,9.3,5.0,0.0,10.0,0.475,32.597,14.085
22-01-2025 13:49:10,235.02,0.044,50.01,7.9,4.0,0.0,10.0,0.474,32.597,14.085
22-01-2025 13:49:10,234.95,0.043,50.01,9.6,4.0,0.0,10.0,0.476,32.597,14.085
22-01-2025 13:49:11,234.95,0.043,50.01,9.6,4.0,0.0,10.0,0.476,32.597,14.085
22-01-2025 13:49:12,234.92,0.042,50.01,9.3,4.0,0.0,9.0,0.479,32.597,14.085
22-01-2025 13:49:13,234.86,0.046,50.01,7.3,5.0,0.0,10.0,0.474,32.597,14.085
22-01-2025 13:49:13,234.86,0.042,50.01,13.1,4.0,0.0,9.0,0.481,32.597,14.085
22-01-2025 13:49:14,234.86,0.042,50.01,13.1,4.0,0.0,9.0,0.481,32.597,14.085
22-01-2025 13:49:15,234.92,0.039,50.01,7.7,4.0,0.0,9.0,0.486,32.597,14.085
22-01-2025 13:49:16,234.97,0.036,50.01,7.7,4.0,0.0,8.0,0.486,32.597,14.085
22-01-2025 13:49:16,235.01,0.035,50.01,9.6,4.0,0.0,8.0,0.493,32.597,14.085
22-01-2025 13:49:17,235.01,0.035,50.01,9.6,4.0,0.0,8.0,0.493,32.597,14.085
22-01-2025 13:49:18,234.96,0.035,50.01,10.1,4.0,0.0,8.0,0.494,32.597,14.085
22-01-2025 13:49:18,235.0,0.042,50.01,7.3,4.0,0.0,9.0,0.48,32.597,14.085
22-01-2025 13:49:19,235.0,0.042,50.01,7.3,4.0,0.0,9.0,0.48,32.597,14.085
22-01-2025 13:49:20,235.01,0.047,50.01,15.1,5.0,0.0,11.0,0.48,32.597,14.085
22-01-2025 13:49:21,234.95,0.04,50.01,0.0,4.0,0.0,9.0,0.483,32.597,14.085
22-01-2025 13:49:21,235.02,0.044,50.01,14.7,4.0,0.0,10.0,0.48,32.597,14.085
22-01-2025 13:49:22,235.02,0.044,50.01,14.7,4.0,0.0,10.0,0.48,32.597,14.085
22-01-2025 13:49:23,234.98,0.034,50.0,7.7,3.0,0.0,7.0,0.498,32.597,14.085
22-01-2025 13:49:24,234.92,0.035,50.0,15.2,4.0,0.0,8.0,0.498,32.597,14.085
22-01-2025 13:49:24,234.86,0.035,50.0,7.0,4.0,0.0,8.0,0.497,32.597,14.085
22-01-2025 13:49:25,234.86,0.035,50.0,7.0,4.0,0.0,8.0,0.497,32.597,14.085
22-01-2025 13:49:26,234.89,0.034,50.0,6.3,3.0,0.0,7.0,0.501,32.597,14.085
22-01-2025 13:49:26,234.78,0.033,50.0,9.4,3.0,0.0,7.0,0.505,32.597,14.085
22-01-2025 13:49:27,234.72,0.035,50.0,8.0,4.0,0.0,8.0,0.496,32.597,14.085
22-01-2025 13:49:28,234.72,0.035,50.0,8.0,4.0,0.0,8.0,0.496,32.597,14.085
22-01-2025 13:49:29,234.74,0.033,50.0,5.8,3.0,0.0,7.0,0.506,32.597,14.085
22-01-2025 13:49:29,234.71,0.034,50.0,10.3,3.0,0.0,7.0,0.5,32.597,14.085
22-01-2025 13:49:30,234.71,0.034,50.0,10.3,3.0,0.0,7.0,0.5,32.597,14.085
22-01-2025 13:49:31,234.74,0.034,50.0,7.7,4.0,0.0,7.0,0.503,32.597,14.085
22-01-2025 13:49:32,234.86,0.034,50.0,8.9,4.0,0.0,7.0,0.505,32.597,14.085
22-01-2025 13:49:32,234.91,0.033,49.99,7.5,3.0,0.0,7.0,0.507,32.597,14.085
22-01-2025 13:49:33,234.91,0.033,49.99,7.5,3.0,0.0,7.0,0.507,32.597,14.085
22-01-2025 13:49:34,234.91,0.033,49.99,7.7,3.0,0.0,7.0,0.508,32.597,14.085
22-01-2025 13:49:34,234.97,0.033,49.99,8.4,3.0,0.0,7.0,0.507,32.597,14.085
22-01-2025 13:49:35,235.08,0.034,49.99,8.9,4.0,0.0,7.0,0.505,32.597,14.085
22-01-2025 13:49:36,235.08,0.034,49.99,8.9,4.0,0.0,7.0,0.505,32.597,14.085
22-01-2025 13:49:37,235.09,0.034,49.99,10.1,4.0,0.0,7.0,0.506,32.597,14.085
22-01-2025 13:49:37,235.05,0.034,50.0,8.4,4.0,0.0,7.0,0.502,32.597,14.085
22-01-2025 13:49:38,235.05,0.034,50.0,8.4,4.0,0.0,7.0,0.502,32.597,14.085
22-01-2025 13:49:39,235.11,0.034,50.0,8.9,4.0,0.0,8.0,0.502,32.597,14.085
22-01-2025 13:49:40,235.23,0.033,50.0,7.9,3.0,0.0,7.0,0.507,32.597,14.085
22-01-2025 13:49:40,235.29,0.033,50.0,8.7,3.0,0.0,7.0,0.508,32.597,14.085
22-01-2025 13:49:41,235.29,0.033,50.0,8.7,3.0,0.0,7.0,0.508,32.597,14.085
22-01-2025 13:49:42,235.27,0.033,50.0,7.5,4.0,0.0,7.0,0.509,32.597,14.085
22-01-2025 13:49:42,235.35,0.034,50.01,8.2,4.0,0.0,8.0,0.503,32.597,14.085
22-01-2025 13:49:43,235.32,0.033,50.01,9.1,3.0,0.0,7.0,0.508,32.597,14.085
22-01-2025 13:49:44,235.32,0.033,50.01,9.1,3.0,0.0,7.0,0.508,32.597,14.085
22-01-2025 13:49:45,235.19,0.033,50.01,6.8,3.0,0.0,7.0,0.507,32.597,14.085
22-01-2025 13:49:45,235.09,0.033,50.01,6.8,3.0,0.0,7.0,0.507,32.597,14.085
22-01-2025 13:49:46,235.09,0.033,50.01,6.8,3.0,0.0,7.0,0.507,32.597,14.085
22-01-2025 13:49:47,235.0,0.033,50.02,6.3,4.0,0.0,7.0,0.509,32.597,14.085
22-01-2025 13:49:48,235.04,0.033,50.02,10.8,3.0,0.0,7.0,0.507,32.597,14.085
22-01-2025 13:49:48,234.99,0.037,50.02,11.7,4.0,0.0,8.0,0.498,32.597,14.085
22-01-2025 13:49:49,234.99,0.037,50.02,11.7,4.0,0.0,8.0,0.498,32.597,14.085
22-01-2025 13:49:50,234.96,0.041,50.02,12.4,4.0,0.0,9.0,0.492,32.597,14.085
22-01-2025 13:49:50,234.94,0.033,50.02,8.6,3.0,0.0,7.0,0.506,32.597,14.085
22-01-2025 13:49:51,234.84,0.033,50.01,5.4,3.0,0.0,7.0,0.505,32.597,14.085
22-01-2025 13:49:52,234.84,0.033,50.01,5.4,3.0,0.0,7.0,0.505,32.597,14.085
22-01-2025 13:49:53,234.85,0.033,50.01,10.3,3.0,0.0,7.0,0.502,32.597,14.085
22-01-2025 13:49:53,234.9,0.033,50.01,7.9,3.0,0.0,7.0,0.505,32.597,14.085
22-01-2025 13:49:54,234.9,0.033,50.01,7.9,3.0,0.0,7.0,0.505,32.597,14.085
22-01-2025 13:49:55,234.86,0.033,50.01,10.3,3.0,0.0,7.0,0.505,32.597,14.085
22-01-2025 13:49:56,234.9,0.033,50.01,10.1,3.0,0.0,7.0,0.506,32.597,14.085
22-01-2025 13:49:56,234.89,0.033,50.01,5.0,3.0,0.0,7.0,0.505,32.597,14.085
22-01-2025 13:49:57,234.89,0.033,50.01,5.0,3.0,0.0,7.0,0.505,32.597,14.085
22-01-2025 13:49:58,234.89,0.033,50.01,8.4,3.0,0.0,7.0,0.505,32.597,14.085
22-01-2025 13:49:59,234.86,0.033,50.0,11.7,3.0,0.0,7.0,0.505,32.597,14.085
22-01-2025 13:50:00,234.81,0.027,50.0,6.1,3.0,0.0,6.0,0.517,32.597,14.085
22-01-2025 13:50:01,234.81,0.027,50.0,6.1,3.0,0.0,6.0,0.517,32.597,14.085
22-01-2025 13:50:02,234.74,0.027,50.0,4.2,3.0,0.0,6.0,0.519,32.597,14.085
22-01-2025 13:50:02,234.79,0.027,49.99,4.3,3.0,0.0,6.0,0.519,32.597,14.085
22-01-2025 13:50:03,234.83,0.028,49.99,4.7,3.0,0.0,6.0,0.512,32.597,14.085
22-01-2025 13:50:04,234.83,0.028,49.99,4.7,3.0,0.0,6.0,0.512,32.597,14.085
22-01-2025 13:50:05,234.98,0.029,49.99,4.5,3.0,0.0,6.0,0.505,32.597,14.085
22-01-2025 13:50:05,234.96,0.027,49.99,7.0,3.0,0.0,6.0,0.511,32.597,14.085
22-01-2025 13:50:06,234.96,0.027,49.99,7.0,3.0,0.0,6.0,0.511,32.597,14.085
22-01-2025 13:50:07,235.02,0.028,49.99,5.4,3.0,0.0,6.0,0.51,32.597,14.085
22-01-2025 13:50:08,235.12,0.027,49.99,5.4,3.0,0.0,6.0,0.513,32.597,14.085
22-01-2025 13:50:08,235.19,0.027,49.99,5.0,3.0,0.0,6.0,0.515,32.597,14.085
22-01-2025 13:50:09,235.19,0.027,49.99,5.0,3.0,0.0,6.0,0.515,32.597,14.085
22-01-2025 13:50:10,235.15,0.027,49.99,3.1,3.0,0.0,6.0,0.509,32.597,14.085
22-01-2025 13:50:10,235.13,0.027,49.99,2.1,3.0,0.0,6.0,0.506,32.597,14.085
22-01-2025 13:50:11,235.11,0.027,49.99,5.0,3.0,0.0,6.0,0.504,32.597,14.085
22-01-2025 13:50:12,235.11,0.027,49.99,5.0,3.0,0.0,6.0,0.504,32.597,14.085
22-01-2025 13:50:13,235.06,0.027,49.99,2.6,3.0,0.0,6.0,0.507,32.597,14.085
22-01-2025 13:50:13,235.08,0.027,49.98,4.9,3.0,0.0,6.0,0.509,32.597,14.085
22-01-2025 13:50:14,235.08,0.027,49.98,4.9,3.0,0.0,6.0,0.509,32.597,14.085
22-01-2025 13:50:15,235.08,0.028,49.98,6.6,3.0,0.0,6.0,0.509,32.597,14.085
22-01-2025 13:50:16,235.05,0.027,49.98,5.4,3.0,0.0,6.0,0.507,32.597,14.085
22-01-2025 13:50:16,235.0,0.028,49.98,5.9,3.0,0.0,6.0,0.498,32.597,14.085
22-01-2025 13:51:20,235.01,0.026,50.0,6.8,3.0,0.0,6.0,0.523,32.597,14.085
22-01-2025 13:51:20,235.0,0.026,50.0,3.5,3.0,0.0,6.0,0.525,32.597,14.085
22-01-2025 13:51:21,235.02,0.026,50.0,4.7,3.0,0.0,6.0,0.52,32.597,14.085
22-01-2025 13:51:22,235.02,0.026,50.0,4.7,3.0,0.0,6.0,0.52,32.597,14.085
22-01-2025 13:51:23,235.0,0.026,50.0,2.6,3.0,0.0,6.0,0.523,32.597,14.085
22-01-2025 13:51:23,235.04,0.027,50.0,6.1,3.0,0.0,6.0,0.517,32.597,14.085
22-01-2025 13:51:24,235.04,0.027,50.0,6.1,3.0,0.0,6.0,0.517,32.597,14.085
22-01-2025 13:51:25,235.05,0.026,50.0,4.7,3.0,0.0,6.0,0.526,32.597,14.085
22-01-2025 13:51:26,235.38,0.026,50.0,2.6,3.0,0.0,6.0,0.521,32.597,14.085
22-01-2025 13:51:26,235.44,0.027,50.01,3.3,3.0,0.0,6.0,0.513,32.597,14.085
22-01-2025 13:51:27,235.44,0.027,50.01,3.3,3.0,0.0,6.0,0.513,32.597,14.085
22-01-2025 13:51:28,235.4,0.027,50.01,3.3,3.0,0.0,6.0,0.511,32.597,14.085
22-01-2025 13:51:28,235.25,0.027,50.01,5.4,3.0,0.0,6.0,0.514,32.597,14.085
22-01-2025 13:51:29,235.4,0.026,50.01,2.4,3.0,0.0,6.0,0.514,32.597,14.085
22-01-2025 13:51:30,235.4,0.026,50.01,2.4,3.0,0.0,6.0,0.514,32.597,14.085
22-01-2025 13:51:31,235.35,0.027,50.0,1.0,3.0,0.0,6.0,0.505,32.597,14.085
22-01-2025 13:51:31,235.32,0.027,50.0,4.5,3.0,0.0,6.0,0.51,32.597,14.085
22-01-2025 13:51:32,235.32,0.027,50.0,4.5,3.0,0.0,6.0,0.51,32.597,14.085
22-01-2025 13:51:33,235.26,0.027,50.0,5.9,3.0,0.0,6.0,0.507,32.597,14.085
22-01-2025 13:51:34,235.23,0.027,50.0,2.1,3.0,0.0,6.0,0.513,32.597,14.085
22-01-2025 13:51:34,235.29,0.028,50.0,1.5,3.0,0.0,6.0,0.506,32.597,14.085
22-01-2025 13:51:35,235.29,0.028,50.0,1.5,3.0,0.0,6.0,0.506,32.597,14.085
22-01-2025 13:51:36,235.26,0.027,49.99,5.4,3.0,0.0,6.0,0.506,32.597,14.085
22-01-2025 13:51:36,235.15,0.027,49.99,5.8,3.0,0.0,6.0,0.507,32.597,14.085
22-01-2025 13:51:37,235.13,0.028,49.98,3.1,3.0,0.0,6.0,0.497,32.597,14.085
22-01-2025 13:51:38,235.13,0.028,49.98,3.1,3.0,0.0,6.0,0.497,32.597,14.085
22-01-2025 13:51:39,235.12,0.027,49.98,4.0,3.0,0.0,6.0,0.506,32.597,14.085
22-01-2025 13:51:39,235.16,0.027,49.98,4.2,3.0,0.0,6.0,0.502,32.597,14.085
22-01-2025 13:51:40,235.16,0.027,49.98,4.2,3.0,0.0,6.0,0.502,32.597,14.085
22-01-2025 13:51:41,235.13,0.027,49.97,3.5,3.0,0.0,6.0,0.507,32.597,14.085
22-01-2025 13:51:42,235.12,0.027,49.97,1.7,3.0,0.0,6.0,0.508,32.597,14.085
22-01-2025 13:51:42,235.1,0.027,49.97,2.6,3.0,0.0,6.0,0.507,32.597,14.085
22-01-2025 13:51:43,235.1,0.027,49.97,2.6,3.0,0.0,6.0,0.507,32.597,14.085
22-01-2025 13:51:44,235.18,0.027,49.97,7.3,3.0,0.0,6.0,0.508,32.597,14.085
22-01-2025 13:51:44,235.12,0.027,49.97,3.1,3.0,0.0,6.0,0.507,32.597,14.085
22-01-2025 13:51:45,235.16,0.027,49.97,1.0,3.0,0.0,6.0,0.507,32.597,14.085
22-01-2025 13:51:46,235.16,0.027,49.97,1.0,3.0,0.0,6.0,0.507,32.597,14.085
22-01-2025 13:51:47,235.19,0.027,49.97,2.1,3.0,0.0,6.0,0.503,32.597,14.085
22-01-2025 13:51:47,235.15,0.027,49.96,-1.0,3.0,0.0,6.0,0.507,32.597,14.085
22-01-2025 13:51:48,235.15,0.027,49.96,-1.0,3.0,0.0,6.0,0.507,32.597,14.085
22-01-2025 13:51:49,235.17,0.031,49.96,1.7,3.0,0.0,7.0,0.495,32.597,14.085
22-01-2025 13:51:50,235.22,0.027,49.96,4.2,3.0,0.0,6.0,0.507,32.597,14.085
22-01-2025 13:51:50,235.22,0.027,49.96,3.3,3.0,0.0,6.0,0.508,32.597,14.085
22-01-2025 13:51:51,235.22,0.027,49.96,3.3,3.0,0.0,6.0,0.508,32.597,14.085
22-01-2025 13:51:52,235.2,0.027,49.96,4.7,3.0,0.0,6.0,0.508,32.597,14.085
22-01-2025 13:51:53,235.36,0.027,49.96,4.3,3.0,0.0,6.0,0.504,32.597,14.085
22-01-2025 13:51:53,235.42,0.027,49.96,1.5,3.0,0.0,6.0,0.505,32.597,14.085
22-01-2025 13:51:54,235.42,0.027,49.96,1.5,3.0,0.0,6.0,0.505,32.597,14.085
22-01-2025 13:51:55,235.42,0.027,49.97,3.8,3.0,0.0,6.0,0.505,32.597,14.085
22-01-2025 13:51:55,235.37,0.027,49.97,1.9,3.0,0.0,6.0,0.502,32.597,14.085
22-01-2025 13:51:56,235.4,0.027,49.97,2.6,3.0,0.0,6.0,0.506,32.597,14.085
22-01-2025 13:51:57,235.4,0.027,49.97,2.6,3.0,0.0,6.0,0.506,32.597,14.085
22-01-2025 13:51:58,235.23,0.027,49.97,5.0,3.0,0.0,6.0,0.512,32.597,14.085
22-01-2025 13:51:58,235.19,0.027,49.97,4.0,3.0,0.0,6.0,0.51,32.597,14.085
22-01-2025 13:51:59,235.19,0.027,49.97,4.0,3.0,0.0,6.0,0.51,32.597,14.085
22-01-2025 13:52:00,235.21,0.027,49.97,5.8,3.0,0.0,6.0,0.513,32.597,14.085
22-01-2025 13:52:01,235.09,0.027,49.97,3.5,3.0,0.0,6.0,0.512,32.597,14.085
22-01-2025 13:52:01,235.12,0.028,49.96,5.2,3.0,0.0,6.0,0.511,32.597,14.085
22-01-2025 13:52:02,235.12,0.028,49.96,5.2,3.0,0.0,6.0,0.511,32.597,14.085
22-01-2025 13:52:03,235.09,0.028,49.96,3.8,3.0,0.0,6.0,0.512,32.597,14.085
22-01-2025 13:52:03,235.08,0.027,49.97,5.2,3.0,0.0,6.0,0.518,32.597,14.085
22-01-2025 13:52:04,235.06,0.027,49.97,4.3,3.0,0.0,6.0,0.519,32.597,14.085
22-01-2025 13:52:05,235.06,0.027,49.97,4.3,3.0,0.0,6.0,0.519,32.597,14.085
22-01-2025 13:52:06,235.09,0.027,49.97,2.1,3.0,0.0,6.0,0.519,32.597,14.085
22-01-2025 13:52:06,234.94,0.026,49.97,3.5,3.0,0.0,6.0,0.517,32.597,14.085
22-01-2025 13:52:07,234.94,0.026,49.97,3.5,3.0,0.0,6.0,0.517,32.597,14.085
22-01-2025 13:52:08,234.91,0.027,49.97,2.6,3.0,0.0,6.0,0.517,32.597,14.085
22-01-2025 13:52:09,234.96,0.027,49.97,4.9,3.0,0.0,6.0,0.516,32.597,14.085
22-01-2025 13:52:09,235.08,0.027,49.97,4.2,3.0,0.0,6.0,0.517,32.597,14.085
22-01-2025 13:52:10,235.08,0.027,49.97,4.2,3.0,0.0,6.0,0.517,32.597,14.085
22-01-2025 13:52:11,235.12,0.027,49.97,6.3,3.0,0.0,6.0,0.519,32.597,14.085
22-01-2025 13:52:11,235.2,0.027,49.98,4.2,3.0,0.0,6.0,0.512,32.597,14.085
22-01-2025 13:52:12,235.23,0.027,49.98,5.0,3.0,0.0,6.0,0.514,32.597,14.085
22-01-2025 13:52:13,235.23,0.027,49.98,5.0,3.0,0.0,6.0,0.514,32.597,14.085
22-01-2025 13:52:14,235.26,0.027,49.98,1.5,3.0,0.0,6.0,0.517,32.597,14.085
22-01-2025 13:52:14,235.26,0.027,49.98,3.3,3.0,0.0,6.0,0.518,32.597,14.085
22-01-2025 13:52:15,235.26,0.027,49.98,3.3,3.0,0.0,6.0,0.518,32.597,14.085
22-01-2025 13:52:16,235.22,0.027,49.99,1.2,3.0,0.0,6.0,0.513,32.597,14.085
22-01-2025 13:52:17,235.07,0.027,49.99,5.0,3.0,0.0,6.0,0.519,32.597,14.085
22-01-2025 13:52:17,235.02,0.027,49.99,4.7,3.0,0.0,6.0,0.517,32.597,14.085
22-01-2025 13:52:18,235.02,0.027,49.99,4.7,3.0,0.0,6.0,0.517,32.597,14.085
22-01-2025 13:52:19,234.89,0.027,49.99,2.2,3.0,0.0,6.0,0.516,32.597,14.085
22-01-2025 13:52:19,234.85,0.027,49.99,2.9,3.0,0.0,6.0,0.518,32.597,14.085
22-01-2025 13:52:20,234.66,0.027,49.98,3.5,3.0,0.0,6.0,0.518,32.597,14.085
22-01-2025 13:52:21,234.66,0.027,49.98,3.5,3.0,0.0,6.0,0.518,32.597,14.085
22-01-2025 13:52:22,234.72,0.027,49.99,5.8,3.0,0.0,6.0,0.517,32.597,14.085
22-01-2025 13:52:22,234.74,0.027,49.98,5.6,3.0,0.0,6.0,0.517,32.597,14.085
22-01-2025 13:52:23,234.74,0.027,49.98,5.6,3.0,0.0,6.0,0.517,32.597,14.085
22-01-2025 13:52:24,234.75,0.027,49.98,7.3,3.0,0.0,6.0,0.517,32.597,14.085
22-01-2025 13:52:25,234.83,0.028,49.99,2.8,3.0,0.0,6.0,0.51,32.597,14.085
22-01-2025 13:52:25,234.9,0.027,49.99,2.4,3.0,0.0,6.0,0.506,32.597,14.085
22-01-2025 13:52:26,234.9,0.027,49.99,2.4,3.0,0.0,6.0,0.506,32.597,14.085
22-01-2025 13:52:27,234.78,0.028,49.99,7.0,3.0,0.0,6.0,0.5,32.597,14.085
22-01-2025 13:52:27,234.88,0.029,49.99,7.0,3.0,0.0,6.0,0.485,32.597,14.085
22-01-2025 13:52:28,234.94,0.028,49.99,4.0,3.0,0.0,6.0,0.489,32.597,14.085
22-01-2025 13:52:29,234.94,0.028,49.99,4.0,3.0,0.0,6.0,0.489,32.597,14.085
22-01-2025 13:52:30,235.0,0.028,49.99,4.5,3.0,0.0,6.0,0.499,32.597,14.085
22-01-2025 13:52:30,235.12,0.028,49.99,4.9,3.0,0.0,6.0,0.494,32.597,14.085
22-01-2025 13:52:31,235.12,0.028,49.99,4.9,3.0,0.0,6.0,0.494,32.597,14.085
22-01-2025 13:52:32,235.14,0.028,50.0,1.2,3.0,0.0,6.0,0.49,32.597,14.085
22-01-2025 13:52:34,234.99,0.028,50.0,0.5,3.0,0.0,6.0,0.49,32.597,14.085
22-01-2025 13:52:34,234.94,0.029,50.0,4.7,3.0,0.0,6.0,0.491,32.597,14.085
22-01-2025 13:52:35,234.94,0.029,50.0,4.7,3.0,0.0,6.0,0.491,32.597,14.085
22-01-2025 13:52:36,234.9,0.028,50.0,1.0,3.0,0.0,6.0,0.491,32.597,14.085
22-01-2025 13:52:37,234.92,0.028,50.0,2.2,3.0,0.0,6.0,0.491,32.597,14.085
22-01-2025 13:52:37,235.02,0.028,50.01,1.5,3.0,0.0,6.0,0.489,32.597,14.085
22-01-2025 13:52:38,235.02,0.028,50.01,1.5,3.0,0.0,6.0,0.489,32.597,14.085
22-01-2025 13:52:39,234.99,0.028,50.01,-2.1,3.0,0.0,6.0,0.5,32.597,14.085
22-01-2025 13:52:39,235.22,0.027,50.01,0.5,3.0,0.0,6.0,0.508,32.597,14.085
22-01-2025 13:52:40,235.26,0.027,50.01,1.0,3.0,0.0,6.0,0.507,32.597,14.085
22-01-2025 13:52:41,235.26,0.027,50.01,1.0,3.0,0.0,6.0,0.507,32.597,14.085
22-01-2025 13:52:42,235.21,0.027,50.01,3.1,3.0,0.0,6.0,0.509,32.597,14.085
22-01-2025 13:52:42,235.11,0.027,50.01,9.3,3.0,0.0,6.0,0.508,32.597,14.085
22-01-2025 13:52:43,235.11,0.027,50.01,9.3,3.0,0.0,6.0,0.508,32.597,14.085
22-01-2025 13:52:44,235.1,0.027,50.01,5.9,3.0,0.0,6.0,0.508,32.597,14.085
22-01-2025 13:52:45,235.1,0.027,50.01,4.2,3.0,0.0,6.0,0.509,32.597,14.085
22-01-2025 13:52:45,235.12,0.027,50.01,1.5,3.0,0.0,6.0,0.509,32.597,14.085
22-01-2025 13:52:46,235.12,0.027,50.01,1.5,3.0,0.0,6.0,0.509,32.597,14.085
22-01-2025 13:52:47,235.22,0.028,50.01,3.1,3.0,0.0,6.0,0.51,32.597,14.085
22-01-2025 13:52:47,235.16,0.027,50.01,0.5,3.0,0.0,6.0,0.508,32.597,14.085
22-01-2025 13:52:48,235.06,0.03,50.0,6.6,3.0,0.0,7.0,0.49,32.597,14.085
22-01-2025 13:52:49,235.06,0.03,50.0,6.6,3.0,0.0,7.0,0.49,32.597,14.085
22-01-2025 13:52:50,235.02,0.028,50.0,1.4,3.0,0.0,6.0,0.503,32.597,14.085
22-01-2025 13:52:50,234.94,0.028,50.0,1.7,3.0,0.0,6.0,0.5,32.597,14.085
22-01-2025 13:52:51,234.94,0.028,50.0,1.7,3.0,0.0,6.0,0.5,32.597,14.085
22-01-2025 13:52:52,234.9,0.027,50.0,4.0,3.0,0.0,6.0,0.506,32.597,14.085
22-01-2025 13:52:53,235.08,0.029,50.0,5.4,3.0,0.0,6.0,0.494,32.597,14.085
22-01-2025 13:52:53,235.12,0.027,50.0,6.5,3.0,0.0,6.0,0.509,32.597,14.085
22-01-2025 13:52:54,235.12,0.027,50.0,6.5,3.0,0.0,6.0,0.509,32.597,14.085
22-01-2025 13:52:55,235.04,0.028,50.0,4.3,3.0,0.0,6.0,0.501,32.597,14.085
22-01-2025 13:52:55,235.16,0.028,50.0,3.5,3.0,0.0,6.0,0.499,32.597,14.085
22-01-2025 13:52:56,235.13,0.028,50.0,2.9,3.0,0.0,6.0,0.499,32.597,14.085
22-01-2025 13:52:57,235.13,0.028,50.0,2.9,3.0,0.0,6.0,0.499,32.597,14.085
22-01-2025 13:52:58,235.0,0.028,50.0,5.8,3.0,0.0,6.0,0.5,32.597,14.085
22-01-2025 13:52:58,235.0,0.028,50.0,4.0,3.0,0.0,6.0,0.498,32.597,14.085
22-01-2025 13:52:59,235.0,0.028,50.0,4.0,3.0,0.0,6.0,0.498,32.597,14.085
22-01-2025 13:53:00,235.06,0.028,50.0,4.5,3.0,0.0,6.0,0.499,32.597,14.085
22-01-2025 13:53:01,234.95,0.028,49.99,1.7,3.0,0.0,6.0,0.494,32.597,14.085
22-01-2025 13:53:01,235.0,0.027,49.99,4.2,3.0,0.0,6.0,0.505,32.597,14.085
